MHAB	POINT	NAME	OX	OY
N	44	INN44	252.9500	487.9000
N	45	INN45	252.6000	490.3900
N	46	INN46	200.8900	462.8500
N	47	INN47	191.4700	461.0600
N	48	INN48	168.5000	448.8300
N	51	INN51	147.8200	410.1500
N	56	INN56	56.9700	435.2400
N	57	INN57	29.2400	417.9900
N	60	INN60	37.8400	455.8900
N	63	INN63	184.8200	561.6900
N	65	INN65	121.2700	542.6000
N	66	INN66	114.9200	532.7400
N	68	INN68	111.8500	547.0000
N	70	INN70	104.0600	517.4600
N	73	INN73	98.1600	499.2700
N	76	INN76	61.0300	460.4000
N	79	INN79	49.8000	448.8300
N	80	INN80	52.0800	443.9300
P	1	INP1	250.8300	519.0300
P	4	INP4	245.6800	568.9700
P	5	INP5	234.9000	569.7000
P	6	INP6	237.7700	580.4200
P	7	INP7	227.2000	583.0400
P	8	INP8	214.7600	602.1100
P	10	INP10	202.0300	617.9800
P	11	INP11	226.4900	626.4300
P	12	INP12	212.7300	642.8300
P	14	INP14	262.9000	650.1100
P	15	INP15	273.5000	662.7500
P	18	INP18	266.2300	719.2500
P	20	INP20	275.0200	732.4600
P	21	INP21	319.2200	709.0000
P	22	INP22	316.1000	691.2800
P	24	INP24	311.4200	688.5800
P	26	INP26	307.5500	677.8700
P	28	INP28	310.9500	656.0900
P	29	INP29	317.5100	647.5800
P	32	INP32	301.5300	637.8500
P	33	INP33	293.3400	641.7800
P	35	INP35	290.4900	621.3000
P	36	INP36	284.2800	607.9700
P	40	INP40	300.8000	612.4000
P	42	INP42	163.8600	426.1800
P	44	INP44	153.1300	418.2300
P	47	INP47	130.1300	458.0700
P	48	INP48	116.9400	452.9500
P	52	INP52	77.9700	402.4100
P	54	INP54	63.5700	403.6700
P	56	INP56	57.3100	439.7300
P	62	INP62	167.2700	472.5500
P	64	INP64	144.0600	502.0100
P	68	INP68	137.1500	504.3600
P	69	INP69	123.8000	513.7100
P	71	INP71	220.0200	471.1600
P	76	INP76	206.1400	459.4300
P	77	INP77	203.3300	477.6100
P	78	INP78	196.9200	480.2000
P	80	INP80	171.0000	486.4600
R	2	INR2	255.3700	465.1700
R	3	INR3	255.3400	466.1800
R	4	INR4	252.1200	465.3400
R	8	INR8	247.9600	440.9000
R	9	INR9	256.2600	439.9800
R	10	INR10	256.2400	436.9300
R	14	INR14	134.0900	441.8600
R	15	INR15	137.3500	444.3000
R	17	INR17	160.4100	309.2800
R	18	INR18	162.7200	309.9000
R	19	INR19	163.8900	305.9400
R	20	INR20	157.6300	303.8300
R	21	INR21	135.2200	325.5600
R	23	INR23	126.3800	328.7800
R	29	INR29	129.9200	368.6700
R	31	INR31	46.5700	380.8300
R	33	INR33	50.2900	372.8500
R	34	INR34	53.3200	369.1400
R	38	INR38	65.0900	354.3700
R	42	INR42	198.2000	472.2500
R	44	INR44	191.4700	470.7600
R	45	INR45	188.2100	467.5000
R	47	INR47	290.1000	515.5500
R	50	INR50	295.4200	514.2300
R	54	INR54	277.0100	523.6600
R	56	INR56	281.1800	524.5100
R	58	INR58	281.9200	526.8400
R	60	INR60	283.2100	528.8700
R	63	INR63	291.0100	528.8700
R	65	INR65	283.1000	537.4900
R	67	INR67	287.3400	549.1400
R	68	INR68	299.0100	557.2900
R	70	INR70	292.2700	562.6700
R	71	INR71	279.3000	662.7500
R	72	INR72	283.5400	671.1700
R	73	INR73	289.3200	671.2300
R	74	INR74	293.2600	674.0400
R	75	INR75	295.3400	670.8200
R	76	INR76	291.2400	681.3300
R	77	INR77	295.0400	683.1000
S	2	INS2	261.4700	479.8200
S	3	INS3	273.6200	465.3400
S	4	INS4	269.1700	490.5500
S	5	INS5	259.8400	503.2100
S	6	INS6	204.5000	535.1600
S	8	INS8	220.0400	530.9600
S	9	INS9	232.2900	518.4500
S	10	INS10	238.2700	515.6600
S	12	INS12	249.4000	419.4200
S	14	INS14	218.3700	360.5100
S	16	INS16	177.5500	481.8700
S	18	INS18	165.9000	495.3000
S	20	INS20	166.4000	483.8900
S	23	INS23	80.2800	425.5100
S	24	INS24	94.8100	431.6600
S	25	INS25	152.1000	486.4600
S	26	INS26	140.9300	475.5200
S	32	INS32	118.2900	475.2300
S	34	INS34	93.5500	490.9500
S	36	INS36	77.2800	487.8700
S	41	INS41	241.7100	577.8200
S	45	INS45	243.4400	549.2200
S	47	INS47	247.7400	540.0800
S	50	INS50	246.5500	535.6800
S	51	INS51	230.1400	579.6300
S	54	INS54	245.8700	626.2100
S	56	INS56	269.8000	648.9400
S	58	INS58	243.2900	586.7600
S	60	INS60	254.5900	621.5400
S	61	INS61	252.1400	545.6300
S	62	INS62	257.1100	544.6200
S	64	INS64	264.1000	547.0500
S	69	INS69	279.5500	554.7000
S	70	INS70	275.8300	562.4400
S	71	INS71	287.1400	564.3300
S	72	INS72	290.0500	572.3200
S	73	INS73	291.5600	576.4600
S	74	INS74	304.7700	601.5000
S	76	INS76	314.8400	606.5800
S	78	INS78	320.3200	614.1100
Post_esq_N		INPost_esq_N	265.1200	751.0300
Post_esq_S		INPost_esq_S	200.0000	300.0000
