FILE,PLANT,Fam001A,Fam001B,FamMg3A,FamMg3B,Fam018A,Fam018B,Tet403A,Tet403B,TetE02A,TetE02B,TetMC5A,TetMC5B,Hex406A,Hex406B,Hex402A,Hex402B,HexA05A,HexA05B
04¥A4,1117,124,124,179,195,246,248,107,145,147,185,235,239,98,102,124,148,200,200
05¥A5,1118,124,124,179,195,248,248,107,107,169,185,235,235,100,100,140,148,200,202
06¥A6,1119,124,124,195,195,246,246,107,107,175,175,235,239,102,102,140,140,200,202
07¥A7,1120,122,124,179,179,246,246,107,119,169,185,235,239,100,102,138,148,196,200
08¥A8,1121,124,124,179,179,246,248,105,107,185,185,235,235,98,102,148,148,196,200
09¥B1,1122,124,124,191,191,246,246,107,127,169,169,235,235,102,102,148,148,200,200
10¥B2,1123,124,124,179,191,246,246,107,127,175,185,235,239,98,102,148,148,200,200
11¥B3,1124,124,124,179,179,246,246,127,127,169,169,235,235,102,102,148,152,200,200
12¥B4,1125,124,124,179,179,246,246,107,127,175,185,235,235,100,102,148,152,200,200
13¥B5,1126,124,124,179,207,246,246,107,127,169,177,235,239,100,106,140,140,200,204
14¥B6,1127,124,124,179,191,246,246,107,127,169,175,235,235,102,102,152,152,200,200
15¥B7,1129,124,124,179,195,246,248,107,107,169,175,235,239,102,102,140,142,200,202
16¥B8,1132,124,124,187,195,248,248,107,107,185,185,235,239,100,100,142,142,200,202
17¥C1,1133,124,124,179,179,246,248,107,113,169,185,235,235,98,100,138,142,200,200
18¥C2,1135,124,124,179,179,246,248,107,107,169,175,235,239,102,102,142,152,200,202
19¥C3,1137,122,122,193,193,246,246,115,115,185,185,239,239,98,98,138,138,200,200
20¥C4,1138,122,124,179,207,248,248,107,115,171,187,235,235,100,100,150,152,202,202
21¥C5,1155,124,130,195,205,248,248,109,109,185,185,235,235,98,100,138,142,200,200
22¥C6,1156,124,124,179,179,248,248,107,119,185,185,235,239,102,102,148,148,200,200
23¥C7,1161,124,124,179,207,246,246,107,115,169,185,235,239,100,102,148,152,196,200
24¥C8,1164,122,124,179,195,246,248,107,145,149,185,235,235,100,102,142,152,200,202
25¥D1,1165,114,122,177,195,248,248,107,145,169,185,235,239,98,102,142,148,196,202
26¥D2,1169,124,126,187,195,248,248,107,125,185,185,235,239,100,100,140,142,200,200
27¥D3,1170,122,124,179,205,246,248,107,107,185,185,235,235,100,100,148,148,196,196
28¥D4,1173,122,124,179,195,246,248,107,107,185,185,235,235,98,102,148,148,200,200
29¥D5,1175,122,124,205,205,248,248,107,107,175,185,235,235,100,100,138,148,200,200
30¥D6,1176,124,126,187,187,248,248,107,125,185,185,235,239,100,100,140,142,200,202
31¥D7,1177,124,126,187,195,248,248,107,125,185,185,235,239,100,100,140,142,200,202
32¥D8,1178,124,126,187,187,248,248,125,125,185,185,235,239,100,100,140,142,200,200
33¥E1,1179,124,124,179,179,246,248,107,107,169,169,239,239,98,98,148,148,196,200
34¥E2,1181,124,126,195,195,248,248,107,125,185,185,235,239,100,100,140,142,202,202
35¥E3,1182,124,124,179,179,248,248,105,107,169,185,235,235,98,98,148,148,200,200
36¥E4,1183,124,126,187,187,248,248,107,125,185,185,235,235,100,100,142,142,200,202
01¥E5,1184,124,126,187,195,248,248,125,125,185,185,239,239,100,100,142,142,200,202
02¥E6,1186,124,124,179,191,246,246,107,107,169,175,235,235,102,102,148,152,200,200
03¥E7,1188,124,124,179,191,246,246,127,127,169,175,235,235,102,102,148,152,200,200
04¥E8,1189,122,124,179,205,246,248,107,107,175,185,235,235,100,100,138,148,196,200
05¥F1,1190,124,126,187,195,248,248,107,107,185,185,235,239,100,100,140,142,202,202
06¥F2,1191,122,124,195,205,246,248,107,115,185,185,235,239,98,102,138,142,200,200
07¥F3,1192,124,124,179,179,246,246,105,105,169,169,235,239,98,98,148,148,196,196
08¥F4,1193,124,126,187,195,248,248,107,125,185,185,235,235,100,100,140,142,202,202
09¥F5,1195,124,124,179,179,246,248,105,105,169,169,235,239,98,98,148,148,196,196
10¥F6,1196,124,124,179,179,246,248,105,107,169,169,235,239,98,98,148,148,200,200
11¥F7,1198,122,124,179,207,246,246,109,113,163,175,235,235,98,100,138,150,196,200
12¥F8,1199,122,124,179,179,246,246,145,145,185,185,235,235,100,102,138,152,202,202
13¥G1,358,124,124,179,195,246,248,107,107,175,175,235,235,98,102,140,152,196,202
14¥G2,361,122,124,179,195,246,248,105,145,169,185,235,239,98,98,148,148,196,196
15¥G3,363,122,124,177,195,246,246,107,107,175,185,235,235,98,102,148,154,200,200
16¥G4,367,124,126,187,195,248,248,107,125,185,185,235,239,100,100,140,142,200,200
17¥G5,368,122,122,179,205,246,248,107,109,185,185,235,235,98,100,138,148,200,200
18¥G6,369,122,122,179,205,246,248,107,109,185,185,235,235,98,100,138,148,200,200
19¥G7,370,124,132,179,195,246,248,107,107,169,185,235,235,98,102,148,152,200,200
20¥G8,382,124,124,179,191,246,246,107,127,175,175,235,235,102,102,152,152,200,200
21¥H1,383,124,124,179,191,246,248,107,127,171,175,235,235,100,102,148,148,200,200
22¥H2,387,124,124,179,191,246,246,107,127,169,175,235,235,102,102,148,152,200,200
23¥H3,388,124,124,179,191,246,246,107,127,169,175,235,235,102,102,148,148,200,200
24¥H4,390,124,124,191,191,246,246,107,107,169,169,235,235,102,102,148,148,200,200
25¥H5,391,122,124,187,195,246,248,125,145,147,185,235,239,100,102,142,148,196,202
26¥H6,1851,124,124,191,191,248,248,107,127,179,179,239,239,98,102,138,138,200,202
01¥1A,357,124,126,179,193,246,248,109,145,175,185,235,239,98,100,138,152,200,202
02¥2A,359,124,126,195,195,246,248,125,127,185,185,239,239,98,100,148,154,200,202
03¥3A,360,124,124,179,195,248,248,107,145,163,175,235,239,100,102,140,148,196,202
04¥4A,362,124,124,179,195,246,248,107,107,169,185,235,239,98,98,148,152,196,200
05¥5A,364,122,124,195,195,246,248,107,145,149,163,235,235,100,102,140,148,196,200
06¥6A,365,122,124,177,195,246,246,107,107,175,185,235,235,98,102,148,154,200,200
07¥7A,372,122,124,179,195,246,248,107,145,149,185,235,235,98,102,148,152,196,200
08¥8A,373,122,124,195,207,246,246,107,107,185,189,235,239,100,102,138,152,196,200
09¥1B,375,122,122,179,205,246,248,107,107,185,185,235,235,98,98,148,148,200,200
10¥2B,377,122,124,179,179,248,248,107,145,149,185,235,239,98,102,148,152,196,196
11¥3B,378,124,124,179,179,246,248,105,107,169,171,235,235,98,100,148,148,200,200
12¥4B,379,124,126,187,195,248,248,107,125,149,185,235,239,100,102,140,152,196,202
13¥5B,380,122,124,179,205,246,248,107,107,171,185,235,235,98,98,140,148,196,200
14¥6B,385,124,124,179,179,246,248,107,107,171,185,235,235,100,100,140,148,200,200
15¥7B,396,122,126,179,187,246,248,107,107,149,185,235,239,98,100,140,152,196,202
16¥8B,397,124,124,179,179,246,248,105,105,185,185,235,239,98,98,148,148,196,200
17¥1C,398,124,124,179,179,246,248,107,107,185,185,235,239,98,98,148,148,196,196
18¥2C,399,124,124,179,179,246,248,105,107,185,185,235,239,98,98,148,148,200,200
19¥3C,400,124,124,179,179,246,248,105,105,169,185,235,235,98,98,148,148,200,200
20¥4C,1820,124,124,179,205,246,248,113,119,175,185,239,239,98,98,138,138,200,202
21¥5C,1821,124,124,177,179,246,246,107,107,175,175,235,235,98,98,142,152,200,202
22¥6C,1822,124,124,179,195,246,248,125,145,149,185,235,235,98,100,140,152,196,200
23¥7C,1823,114,124,179,179,246,248,107,107,175,175,235,235,98,98,142,142,200,202
24¥8C,1824,122,124,179,179,246,246,145,145,185,185,235,235,98,98,138,142,200,200
25¥1D,1825,122,124,179,207,246,246,107,127,169,185,235,239,98,100,138,138,200,200
26¥2D,1826,124,124,179,195,248,248,107,107,185,189,235,239,98,102,148,152,200,200
27¥3D,1827,124,124,179,195,248,248,107,107,185,185,235,235,102,102,148,148,200,200
28¥4D,1828,124,124,179,195,248,248,107,107,169,185,235,235,102,102,148,148,200,200
29¥5D,1829,124,124,179,195,248,248,107,107,169,185,235,235,102,102,148,148,200,200
30¥6D,1830,122,126,179,179,246,248,107,107,185,189,239,239,98,100,148,152,200,202
31¥7D,1831,124,124,179,195,246,248,107,125,175,185,235,235,100,102,142,152,200,202
32¥8D,1832,124,124,179,179,246,246,109,145,149,189,235,239,98,102,124,148,200,200
33¥1E,1833,124,126,179,195,248,248,107,125,175,185,235,239,100,100,142,148,200,202
34¥2E,1834,124,124,179,179,246,248,107,107,169,175,235,235,102,102,142,148,200,200
35¥3E,1835,124,132,179,207,248,248,107,107,161,175,235,235,98,98,140,142,200,200
36¥4E,1836,114,124,179,179,246,248,107,107,175,175,235,235,98,102,142,142,200,202
01¥6E,1838,124,132,193,207,246,246,109,113,169,175,235,235,98,100,138,152,200,202
02¥5E,1837,124,124,179,179,246,248,107,127,175,185,235,235,102,102,148,152,200,200
03¥7E,1839,124,124,179,207,246,248,107,121,169,185,235,235,102,106,148,150,200,200
04¥8_e,1841,124,124,179,179,246,248,107,107,169,169,235,235,98,102,148,150,196,202
05¥1_f,1842,114,124,177,177,246,248,107,107,175,175,235,235,98,98,142,152,202,202
06¥2_f,1843,124,124,179,179,246,248,107,119,185,185,235,239,102,102,138,148,200,200
07¥3_f,1844,122,124,179,195,246,248,107,107,149,185,235,235,98,100,142,148,196,202
08¥4_f,1845,126,126,187,195,248,248,125,125,185,185,235,239,100,100,142,142,200,200
09¥5_f,1846,124,124,179,179,246,246,105,107,149,185,235,235,98,102,148,152,196,200
10¥6_f,1847,126,126,187,195,248,248,107,125,185,185,239,239,100,100,142,142,202,202
11¥7_f,1848,124,126,187,187,248,248,107,125,185,185,235,239,100,100,140,142,200,200
12¥8_f,1849,124,124,191,191,246,246,107,127,175,175,235,235,102,102,152,152,200,200
13¥1_g,1850,124,126,187,195,248,248,107,107,185,185,239,239,100,100,142,142,200,200
14¥2_g,1921,124,124,195,195,248,248,107,107,169,185,235,235,102,102,148,148,200,200
15¥3_g,1922,122,130,195,195,248,248,107,109,149,185,235,239,98,100,142,148,200,200
16¥4_g,1923,122,126,195,205,248,248,107,115,185,185,235,239,98,100,138,152,196,200
17¥5_g,1924,124,124,179,195,246,246,107,145,169,185,235,239,98,102,148,152,196,200
18¥6_g,1925,114,124,177,179,248,248,107,107,175,185,235,235,98,102,142,152,200,202
19¥7_g,1926,124,124,179,191,246,246,107,107,175,185,235,235,98,102,148,152,200,200
20¥8_g,1927,124,124,179,179,246,248,105,107,185,185,235,239,98,98,148,148,196,200
21¥1_h,1928,122,124,179,195,248,248,125,145,185,185,235,235,98,100,142,148,200,202
22¥2_h,1929,124,124,179,191,246,246,107,127,169,175,235,235,102,102,148,152,200,200
23¥3_h,1930,124,124,179,191,246,248,107,127,169,185,235,235,100,102,140,148,200,200
24¥4_h,1931,124,124,179,179,248,248,107,107,185,185,235,235,102,102,148,148,200,200
25¥5_h,1932,124,124,179,195,248,248,107,107,169,189,235,235,98,102,148,152,200,200
26¥6_h,1933,124,124,177,179,246,246,107,107,175,175,235,235,98,98,142,152,202,202
27¥7_h,1934,124,124,179,195,248,248,107,107,185,185,235,235,102,102,148,148,200,200
28¥8_h,1935,124,132,187,195,246,248,105,109,155,169,235,239,98,102,142,148,200,202
29¥1_i,1936,124,124,187,187,248,248,107,107,185,185,235,235,100,100,140,142,202,202
30¥2_i,1937,124,124,179,179,248,248,107,109,171,189,235,239,98,100,124,140,200,200
31¥3_i,1938,124,126,179,195,248,248,107,125,185,185,235,239,100,102,142,142,200,202
32¥4_i,1939,124,124,179,195,248,248,107,107,185,185,235,235,100,102,148,148,200,200
33¥5_i,1940,124,124,179,191,246,248,107,127,175,185,235,235,100,102,148,152,200,200
34¥6_i,1941,124,124,179,179,248,248,107,107,185,185,235,235,102,102,148,148,200,200
35¥7_i,NM1,122,124,191,191,246,248,127,127,175,187,239,239,98,98,138,152,200,200
36¥8_i,NM2,122,124,191,191,246,248,127,127,175,187,239,239,98,98,138,152,200,200
